,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore,Give_credit
51,1000,30,2,0,0,9000,2,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0
52,1000,21,5,0,0,7000,999,2500,1.9,50,19.87871392107487,-0.08171006090532043,0.0
53,1800,30,3,0,0,6000,2,1000,1.8,50,116.60555083302759,-0.07140744968397382,1.0
54,2250,24,3,0,0,6000,2,4000,1.8,50,19.6300844682742,-0.08173654303450154,0.0
55,5000,30,5,1,1,13500,2,9000,1.8,50,118.14131520289683,-0.07124387167671652,1.0
56,1000,30,4,1,0,14000,1,4000,1.8,50,116.51256718560184,-0.07141735359895703,1.0
57,1000,30,3,0,0,7000,1,2000,1.33,50,113.09949006816588,-0.07178088876388158,1.0
58,3500,30,5,0,0,8000,2,4000,1.53,50,114.62896545940923,-0.07161798061107037,1.0
59,7000,20,5,0,0,5500,2,2500,1.8,50,24.334717408069526,-0.0812354411101,0.0
60,2550,30,4,0,0,6000,2,1500,1.8,50,116.79180498316988,-0.07138761130035104,1.0
61,4000,30,3,0,0,10000,1,3000,1.8,50,117.35087632880409,-0.07132806324830103,1.0
62,3000,30,2,0,0,8000,2,4000,1.8,50,116.96969730818519,-0.0713686635551088,1.0
63,3000,4,5,0,0,12000,2,3000,1.8,50,16.44410979522511,-0.08207588896439438,0.0
64,1500,22,4,0,1,25000,2,10000,1.53,50,15.914670139438613,-0.08213228087291609,0.0
65,4000,15,5,0,0,25000,2,5000,1.9,50,19.52050383195259,-0.0817482147352358,0.0
66,2000,30,5,0,0,9000,2,5000,1.8,50,116.72252047829319,-0.07139499096188238,1.0
67,1400,30,5,0,0,8000,1,3000,1.8,50,116.56303335196971,-0.07141197832453972,1.0
68,5000,30,5,0,0,9500,1,4000,1.53,50,115.51777287447023,-0.07152331156636298,1.0
69,1000,30,3,0,0,7500,2,3000,1.8,50,116.49377020478083,-0.07141935571121166,1.0
70,6000,28,3,1,0,8000,1,5000,1.8,50,30.696605231629835,-0.08055782092760996,0.0
71,1100,30,5,1,1,17000,2,2500,1.8,50,116.50117985033518,-0.07141856649179881,1.0
72,1500,30,2,0,0,1200,1,2000,1.9,50,118.64681744643083,-0.0711900294003337,1.0
73,3500,28,5,0,0,12000,2,3500,1.8,50,28.445735612123187,-0.08079756653844626,0.0
74,1200,24,4,0,0,15000,2,13000,1.53,50,17.1019216572961,-0.08200582381920747,0.0
75,3000,30,5,0,0,12000,2,1000,1.8,50,116.91521791337405,-0.07137446628827193,1.0
76,900,8,3,0,0,9000,2,8000,0.0,120,10.978244136182418,-0.0826580716416227,0.0
77,3000,15,5,0,0,15,2,10000,1.8,50,17.146333382965537,-0.08200109341802979,0.0
78,1500,30,2,0,0,11000,2,3000,1.53,50,114.0631806190725,-0.07167824373380877,1.0
79,3000,30,5,0,0,12000,1,5000,1.8,50,116.9891778118532,-0.0713665886391693,1.0
80,2500,7,2,0,1,7500,2,3500,0.0,290,11.182247376788789,-0.08263634275910195,0.0
81,1700,24,4,1,0,7000,2,3000,1.8,50,19.489827420898933,-0.0817514821545668,0.0
82,2000,30,3,0,0,9500,2,4000,1.8,50,116.70303997462518,-0.0713970658778219,1.0
83,800,15,4,0,0,7300,2,2500,1.9,50,18.58422118038959,-0.08184794048312856,0.0
84,3500,30,5,0,0,20000,2,5000,1.8,50,117.16694640489811,-0.07134765407292089,1.0
85,1000,30,3,1,0,25000,999,10000,1.9,50,118.72442363763993,-0.07118176337570266,1.0
86,4000,30,2,1,0,18000,999,25000,1.8,50,118.0125279269777,-0.07125758912346049,1.0
87,3000,3,2,0,0,9500,1,3000,1.8,50,16.540315646937554,-0.08206564184457682,0.0
88,4000,30,5,1,0,11500,2,6500,1.9,50,119.5030252149616,-0.07109883262345679,1.0
89,1800,15,2,0,0,9100,1,5000,1.8,50,16.72757555220761,-0.0820456963355233,0.0
90,4000,15,5,0,0,23000,2,10000,1.9,50,19.629594582364057,-0.08173659521344417,0.0
91,1000,10,3,0,0,12000,2,7000,1.9,50,18.26093306960658,-0.08188237468799058,0.0
92,2500,30,5,0,0,10000,1,5000,1.8,50,116.84372901828192,-0.07138208074477947,1.0
93,4000,14,5,0,0,20700,2,13000,1.8,50,17.50714589511805,-0.08196266239769272,0.0
94,3000,30,5,0,0,10000,2,2000,1.8,50,116.93275151494302,-0.07137259874162158,1.0
95,1000,14,5,0,0,11500,2,4000,1.8,50,16.444872954861165,-0.08207580767840096,0.0
